codigo_uf;Estado;Semana;srag_excesso;srag_tot_2020;covid;covid_sub;covid_acum;covid_sub_acum;populacao;covid_100k;covid_sub_100k;covid_acum_100k;covid_sub_acum_100k;UF;code_region;Regiao
11;Rondônia; 1;    0;    0;   0;   0;    0;    0; 1777225; 0,000000000; 0,00000000;0,000000e+00; 0,00000000;RO;1;Norte
11;Rondônia; 2;    0;    0;   0;   0;    0;    0; 1777225; 0,000000000; 0,00000000;0,000000e+00; 0,00000000;RO;1;Norte
11;Rondônia; 3;    3;    3;   0;   3;    0;    3; 1777225; 0,000000000; 0,16880249;0,000000e+00; 0,16880249;RO;1;Norte
11;Rondônia; 4;    4;    4;   0;   4;    0;    7; 1777225; 0,000000000; 0,22506998;0,000000e+00; 0,39387247;RO;1;Norte
11;Rondônia; 5;    0;    0;   0;   0;    0;    7; 1777225; 0,000000000; 0,00000000;0,000000e+00; 0,39387247;RO;1;Norte
11;Rondônia; 6;    0;    1;   0;   0;    0;    7; 1777225; 0,000000000; 0,00000000;0,000000e+00; 0,39387247;RO;1;Norte
11;Rondônia; 7;    0;    0;   0;   0;    0;    7; 1777225; 0,000000000; 0,00000000;0,000000e+00; 0,39387247;RO;1;Norte
11;Rondônia; 8;    0;    1;   0;   0;    0;    7; 1777225; 0,000000000; 0,00000000;0,000000e+00; 0,39387247;RO;1;Norte
11;Rondônia; 9;    1;    2;   1;   0;    1;    7; 1777225; 0,056267496; 0,00000000;5,626750e-02; 0,39387247;RO;1;Norte
11;Rondônia;10;    3;    3;   0;   3;    1;   10; 1777225; 0,000000000; 0,16880249;5,626750e-02; 0,56267496;RO;1;Norte
11;Rondônia;11;    1;    2;   0;   1;    1;   11; 1777225; 0,000000000; 0,05626750;5,626750e-02; 0,61894245;RO;1;Norte
11;Rondônia;12;    3;    4;   0;   3;    1;   14; 1777225; 0,000000000; 0,16880249;5,626750e-02; 0,78774494;RO;1;Norte
11;Rondônia;13;    4;    7;   1;   3;    2;   17; 1777225; 0,056267496; 0,16880249;1,125350e-01; 0,95654743;RO;1;Norte
11;Rondônia;14;   35;   36;   1;  34;    3;   51; 1777225; 0,056267496; 1,91309485;1,688025e-01; 2,86964228;RO;1;Norte
11;Rondônia;15;   27;   28;   8;  19;   11;   70; 1777225; 0,450139965; 1,06908242;6,189425e-01; 3,93872470;RO;1;Norte
11;Rondônia;16;   41;   43;  22;  19;   33;   89; 1777225; 1,237884905; 1,06908242;1,856827e+00; 5,00780712;RO;1;Norte
11;Rondônia;17;   21;   23;  13;   8;   46;   97; 1777225; 0,731477444; 0,45013997;2,588305e+00; 5,45794708;RO;1;Norte
11;Rondônia;18;   16;   18;  11;   5;   57;  102; 1777225; 0,618942452; 0,28133748;3,207247e+00; 5,73928456;RO;1;Norte
11;Rondônia;19;   32;   35;  20;  12;   77;  114; 1777225; 1,125349913; 0,67520995;4,332597e+00; 6,41449451;RO;1;Norte
11;Rondônia;20;   38;   39;  16;  22;   93;  136; 1777225; 0,900279931; 1,23788490;5,232877e+00; 7,65237941;RO;1;Norte
11;Rondônia;21;   28;   29;  15;  13;  108;  149; 1777225; 0,844012435; 0,73147744;6,076890e+00; 8,38385686;RO;1;Norte
12;Acre; 1;    0;    2;   0;   0;    0;    0;  881935; 0,000000000; 0,00000000;0,000000e+00; 0,00000000;AC;1;Norte
12;Acre; 2;    1;    4;   0;   1;    0;    1;  881935; 0,000000000; 0,11338704;0,000000e+00; 0,11338704;AC;1;Norte
12;Acre; 3;    3;    4;   0;   3;    0;    4;  881935; 0,000000000; 0,34016112;0,000000e+00; 0,45354816;AC;1;Norte
12;Acre; 4;    1;    2;   0;   1;    0;    5;  881935; 0,000000000; 0,11338704;0,000000e+00; 0,56693520;AC;1;Norte
12;Acre; 5;    1;    3;   0;   1;    0;    6;  881935; 0,000000000; 0,11338704;0,000000e+00; 0,68032225;AC;1;Norte
12;Acre; 6;    3;    5;   0;   3;    0;    9;  881935; 0,000000000; 0,34016112;0,000000e+00; 1,02048337;AC;1;Norte
12;Acre; 7;    3;    4;   0;   3;    0;   12;  881935; 0,000000000; 0,34016112;0,000000e+00; 1,36064449;AC;1;Norte
12;Acre; 8;    3;    5;   0;   3;    0;   15;  881935; 0,000000000; 0,34016112;0,000000e+00; 1,70080561;AC;1;Norte
12;Acre; 9;    1;    4;   0;   1;    0;   16;  881935; 0,000000000; 0,11338704;0,000000e+00; 1,81419266;AC;1;Norte
12;Acre;10;    5;    8;   0;   5;    0;   21;  881935; 0,000000000; 0,56693520;0,000000e+00; 2,38112786;AC;1;Norte
12;Acre;11;    1;    3;   0;   1;    0;   22;  881935; 0,000000000; 0,11338704;0,000000e+00; 2,49451490;AC;1;Norte
12;Acre;12;    2;    5;   0;   2;    0;   24;  881935; 0,000000000; 0,22677408;0,000000e+00; 2,72128898;AC;1;Norte
12;Acre;13;    7;   11;   2;   5;    2;   29;  881935; 0,226774082; 0,56693520;2,267741e-01; 3,28822419;AC;1;Norte
12;Acre;14;    8;   12;   4;   4;    6;   33;  881935; 0,453548164; 0,45354816;6,803222e-01; 3,74177235;AC;1;Norte
12;Acre;15;   12;   14;   7;   5;   13;   38;  881935; 0,793709287; 0,56693520;1,474032e+00; 4,30870756;AC;1;Norte
12;Acre;16;   12;   15;  12;   0;   25;   38;  881935; 1,360644492; 0,00000000;2,834676e+00; 4,30870756;AC;1;Norte
12;Acre;17;   19;   22;  18;   1;   43;   39;  881935; 2,040966738; 0,11338704;4,875643e+00; 4,42209460;AC;1;Norte
12;Acre;18;   26;   28;  25;   1;   68;   40;  881935; 2,834676025; 0,11338704;7,710319e+00; 4,53548164;AC;1;Norte
12;Acre;19;   27;   32;  18;   9;   86;   49;  881935; 2,040966738; 1,02048337;9,751286e+00; 5,55596501;AC;1;Norte
12;Acre;20;   63;   66;  30;  33;  116;   82;  881935; 3,401611230; 3,74177235;1,315290e+01; 9,29773736;AC;1;Norte
12;Acre;21;   22;   24;   7;  15;  123;   97;  881935; 0,793709287; 1,70080561;1,394661e+01;10,99854298;AC;1;Norte
13;Amazonas; 1;   11;   11;   0;  11;    0;   11; 4144597; 0,000000000; 0,26540578;0,000000e+00; 0,26540578;AM;1;Norte
13;Amazonas; 2;   25;   25;   0;  25;    0;   36; 4144597; 0,000000000; 0,60319495;0,000000e+00; 0,86860073;AM;1;Norte
13;Amazonas; 3;   19;   20;   0;  19;    0;   55; 4144597; 0,000000000; 0,45842817;0,000000e+00; 1,32702890;AM;1;Norte
13;Amazonas; 4;   16;   17;   0;  16;    0;   71; 4144597; 0,000000000; 0,38604477;0,000000e+00; 1,71307367;AM;1;Norte
13;Amazonas; 5;   25;   25;   0;  25;    0;   96; 4144597; 0,000000000; 0,60319495;0,000000e+00; 2,31626863;AM;1;Norte
13;Amazonas; 6;   26;   26;   0;  26;    0;  122; 4144597; 0,000000000; 0,62732275;0,000000e+00; 2,94359138;AM;1;Norte
13;Amazonas; 7;   26;   27;   0;  26;    0;  148; 4144597; 0,000000000; 0,62732275;0,000000e+00; 3,57091413;AM;1;Norte
13;Amazonas; 8;   39;   40;   0;  39;    0;  187; 4144597; 0,000000000; 0,94098413;0,000000e+00; 4,51189826;AM;1;Norte
13;Amazonas; 9;   36;   37;   0;  36;    0;  223; 4144597; 0,000000000; 0,86860073;0,000000e+00; 5,38049900;AM;1;Norte
13;Amazonas;10;   27;   28;   1;  26;    1;  249; 4144597; 0,024127798; 0,62732275;2,412780e-02; 6,00782175;AM;1;Norte
