Consulta Dinâmica de Receita 01/2019 - 06/2020
Alínea;Subalínea;Exercício;Mês;Receita Prevista;Receita Realizada;Diferença;% Realizado;
" ";" ";"2019";"1";0,00;0,00;0,00;0,00;
" ";"CONTRIBUIÇÃO PARA FUNDOS DE ASSISTÊNCIA MÉDICA DOS  SERVIDORES CIVIS -";"2019";"1";10.800.000,00;0,00;10.800.000,00;0,00;
" ";"CONTRIBUIÇÃO PARA FUNDOS DE ASSISTÊNCIA MÉDICA DOS  SERVIDORES CIVIS -";"2020";"1";0,00;1.676.037,70;-1.676.037,70;0,00;
" ";"CONTRIBUIÇÃO PARA FUNDOS DE ASSISTÊNCIA MÉDICA DOS  SERVIDORES CIVIS -";"2020";"2";0,00;1.164.146,66;-1.164.146,66;0,00;
" ";"CONTRIBUIÇÃO PARA FUNDOS DE ASSISTÊNCIA MÉDICA DOS  SERVIDORES CIVIS -";"2020";"3";0,00;1.374.051,81;-1.374.051,81;0,00;
" ";"CONTRIBUIÇÃO PARA FUNDOS DE ASSISTÊNCIA MÉDICA DOS  SERVIDORES CIVIS -";"2020";"5";0,00;3.122.698,80;-3.122.698,80;0,00;
"ALIENAÇÃO DE BENS IMÓVEIS";"ALIENAÇÃO DE BENS IMÓVEIS - PRINCIPAL";"2019";"1";165.087.125,00;1.538.703,05;163.548.421,95;0,93;
"ALIENAÇÃO DE BENS IMÓVEIS";"ALIENAÇÃO DE BENS IMÓVEIS - PRINCIPAL";"2020";"1";81.962.391,00;766.692,77;81.195.698,23;0,94;
"ALIENAÇÃO DE BENS IMÓVEIS";"ALIENAÇÃO DE BENS IMÓVEIS - PRINCIPAL";"2020";"2";0,00;717.470,81;-717.470,81;0,00;
"ALIENAÇÃO DE BENS IMÓVEIS";"ALIENAÇÃO DE BENS IMÓVEIS - PRINCIPAL";"2019";"3";0,00;1.969.970,86;-1.969.970,86;0,00;
"ALIENAÇÃO DE BENS IMÓVEIS";"ALIENAÇÃO DE BENS IMÓVEIS - PRINCIPAL";"2020";"3";0,00;779.051,92;-779.051,92;0,00;
"ALIENAÇÃO DE BENS IMÓVEIS";"ALIENAÇÃO DE BENS IMÓVEIS - PRINCIPAL";"2019";"5";0,00;3.785.698,73;-3.785.698,73;0,00;
"ALIENAÇÃO DE BENS IMÓVEIS";"ALIENAÇÃO DE BENS IMÓVEIS - PRINCIPAL";"2020";"5";0,00;750.636,32;-750.636,32;0,00;
"ALIENAÇÃO DE BENS IMÓVEIS";"ALIENAÇÃO DE BENS IMÓVEIS - PRINCIPAL";"2019";"6";0,00;771.137,98;-771.137,98;0,00;
"ALIENAÇÃO DE BENS IMÓVEIS";"ALIENAÇÃO DE BENS IMÓVEIS - PRINCIPAL";"2020";"6";0,00;421.090,35;-421.090,35;0,00;
"ALIENAÇÃO DE BENS MÓVEIS E SEMOVENTES";"ALIENAÇÃO DE BENS MÓVEIS E SEMOVENTES - PRINCIPAL";"2019";"1";3.618.139,00;0,00;3.618.139,00;0,00;
